"genus","species","imageURL","uploaded","license"
"Agave","utahensis","https://static.inaturalist.org/photos/2693639/small.jpg?1448327633","Colin Barrows","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Allium","acuminatum","https://static.inaturalist.org/photos/3945590/small.jpg?1465393788","jcroxford","Creative Commons Attribution-NonCommercial License"
"Alnus","incana","https://static.inaturalist.org/photos/558762/small.jpg?1383091377","Marv Elliott","Creative Commons Attribution-NonCommercial License"
"Alnus","incana","https://static.inaturalist.org/photos/558762/small.jpg?1383091377","Marv Elliott","Creative Commons Attribution-NonCommercial License"
"Alnus","maritima","https://static.inaturalist.org/photos/61588292/small.jpg?1581884541","Judy Gallagher","Creative Commons Attribution-NonCommercial License"
"Alnus","rhombifolia","https://static.inaturalist.org/photos/246250/small.jpg?1360023133","rebeca917","Creative Commons Attribution-NonCommercial License"
"Alnus","rubra","https://static.inaturalist.org/photos/306100/small.jpg?1366903096","elarocca","Creative Commons Attribution-NonCommercial License"
"Alnus","serrulata","https://static.inaturalist.org/photos/3211214/small.JPG?1458777612","Laura Clark","Creative Commons Attribution-NonCommercial License"
"Allium","textile","https://static.inaturalist.org/photos/8092055/small.jpg?1496031532","Janelle Veenendaal","Creative Commons Attribution-NonCommercial License"
"Allium","tolmiei","https://static.inaturalist.org/photos/80380530/small.jpg?1592871948","Annette Patton","Creative Commons Attribution-NonCommercial License"
"Alnus","viridis","https://static.inaturalist.org/photos/2414847/small.JPG?1442883751","marek","Creative Commons Attribution-NonCommercial License"
"Ammophila","breviligulata","https://static.inaturalist.org/photos/2528354/small.JPG?1444915152","Chia aka Cory Chiappone","Creative Commons Attribution-NonCommercial License"
"Amorpha","canescens","https://static.inaturalist.org/photos/1052607/small.jpg?1408140096","Erin Faulkner","Creative Commons Attribution-NonCommercial License"
"Ambrosia","dumosa","https://static.inaturalist.org/photos/2886058/small.jpg?1452897115","Colin Barrows","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Amorpha","fruticosa","https://static.inaturalist.org/photos/866798/small.jpg?1400641673","Matthew Herron","Creative Commons Attribution-NonCommercial License"
"Amorpha","glabra","https://static.inaturalist.org/photos/77307677/small.jpg?1591483171","jakelly","Creative Commons Attribution-NonCommercial License"
"Andropogon","gerardii","https://static.inaturalist.org/photos/599241/small.JPG?1386174011","Ben VanderWeide","Creative Commons Attribution-NonCommercial License"
"Andropogon","glomeratus","https://static.inaturalist.org/photos/1288820/small.JPG?1413835459","Sam Kieschnick","Creative Commons Attribution-NonCommercial License"
"Andropogon","hallii","https://static.inaturalist.org/photos/62079957/small.jpeg?1582520529","Colin Croft","Creative Commons Attribution-NonCommercial License"
"Andira","inermis","https://static.inaturalist.org/photos/67496072/small.jpeg?1587242320","Leonardo Álvarez","Creative Commons Attribution-NonCommercial License"
"Anaphalis","margaritacea","https://static.inaturalist.org/photos/424160/small.JPG?1374465382","wheker18","Creative Commons Attribution-NonCommercial License"
"Anemone","multifida","https://static.inaturalist.org/photos/5690570/small.jpeg?1480810688","Pat Deacon","Creative Commons Attribution-NonCommercial License"
"Andropogon","virginicus","https://static.inaturalist.org/photos/4718245/small.jpg?1472576999","Mary Keim","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Apios","americana","https://static.inaturalist.org/photos/1037193/small.jpg?1407467765","James Mickley","Creative Commons Attribution-NonCommercial License"
"Aquilegia","formosa","https://static.inaturalist.org/photos/100929/small.jpg?1444480039","J. Maughn","Creative Commons Attribution-NonCommercial License"
"Argentina","anserina","https://static.inaturalist.org/photos/437564/small.JPG?1375159041","Erin Faulkner","Creative Commons Attribution-NonCommercial License"
"Artemisia","cana","https://static.inaturalist.org/photos/7551881/small.jpg?1493604648","keitamb2","Creative Commons Attribution-NonCommercial License"
"Arnica","cordifolia","https://static.inaturalist.org/photos/6385640/small.jpg?1488062635","Todd Ramsden","Creative Commons Attribution-NonCommercial License"
"Artemisia","frigida","https://static.inaturalist.org/photos/2113643/small.jpg?1436571234","mschoeneck","Creative Commons Attribution-NonCommercial License"
"Arundinaria","gigantea","https://static.inaturalist.org/photos/1726885/small.jpg?1429141681","Jonathan Carpenter","Creative Commons Attribution-NonCommercial License"
"Arnica","latifolia","https://static.inaturalist.org/photos/11962080/small.jpeg?1511313857","judith holm","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Artemisia","ludoviciana","https://static.inaturalist.org/photos/1497730/small.jpg?1421776843","podiceps","Creative Commons Attribution-NonCommercial License"
"Arctostaphylos","manzanita","https://static.inaturalist.org/photos/6142028/small.jpg?1485654359","Katherine L.C. Cuneo","Creative Commons CC0 Universal Public Domain Dedication"
"Armeria","maritima","https://static.inaturalist.org/photos/361043/small.JPG?1370633415","sea-kangaroo","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Arctostaphylos","nevadensis","https://static.inaturalist.org/photos/1739301/small.JPG?1429464927","Rob Parker","Creative Commons Attribution-NonCommercial License"
"Artemisia","nova","https://static.inaturalist.org/photos/84615093/small.jpeg?1594856332","Matt Berger","Creative Commons Attribution License"
"Arctostaphylos","patula","https://static.inaturalist.org/photos/816948/small.jpg?1398735261","faerthen","Creative Commons Attribution-NonCommercial License"
"Aristida","purpurea","https://static.inaturalist.org/photos/5540857/small.jpeg?1479350297","Sam Kieschnick","Creative Commons Attribution-NonCommercial License"
"Aralia","spinosa","https://static.inaturalist.org/photos/1002760/small.jpg?1406039594","Christopher Tracey","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Artemisia","tilesii","https://static.inaturalist.org/photos/20434019/small.jpg?1530144240","C Graydon","Creative Commons Attribution-NonCommercial License"
"Arisaema","triphyllum","https://static.inaturalist.org/photos/108247/small.jpg","hitefamily","Creative Commons Attribution License"
"Artemisia","tridentata","https://static.inaturalist.org/photos/577314/small.jpg?1384458143","Ben VanderWeide","Creative Commons Attribution-NonCommercial License"
"Artemisia","tridentata","https://static.inaturalist.org/photos/577314/small.jpg?1384458143","Ben VanderWeide","Creative Commons Attribution-NonCommercial License"
"Artemisia","tridentata","https://static.inaturalist.org/photos/577314/small.jpg?1384458143","Ben VanderWeide","Creative Commons Attribution-NonCommercial License"
"Artemisia","tridentata","https://static.inaturalist.org/photos/577314/small.jpg?1384458143","Ben VanderWeide","Creative Commons Attribution-NonCommercial License"
"Arctostaphylos","uva-ursi","https://static.inaturalist.org/photos/595535/small.JPG?1386002532","Ben VanderWeide","Creative Commons Attribution-NonCommercial License"
"Aster","alpinus","https://static.inaturalist.org/photos/8583663/small.jpeg?1498154273","Luca Fornasari","Creative Commons Attribution-NonCommercial License"
"Astragalus","canadensis","https://static.inaturalist.org/photos/4327924/small.jpeg?1469228406","driftlessroots","Creative Commons Attribution-NonCommercial License"
"Asclepias","incarnata","https://static.inaturalist.org/photos/405601/small.jpg?1444593459","Suzanne Cadwell","Creative Commons Attribution-NonCommercial License"
"Astragalus","mollissimus","https://static.inaturalist.org/photos/3507049/small.jpg?1461797150","debaraj","Creative Commons Attribution-NonCommercial License"
"Asimina","triloba","https://static.inaturalist.org/photos/327974/small.jpg?1368380897","creationhiker","Creative Commons Attribution-NonCommercial License"
"Asclepias","tuberosa","https://static.inaturalist.org/photos/356359/small.jpg?1370314210","vfazio","Creative Commons Attribution-NonCommercial License"
"Atriplex","canescens","https://static.inaturalist.org/photos/1361647/small.jpg?1416532600","kathleenaroman","Creative Commons Attribution-NonCommercial License"
"Atriplex","confertifolia","https://static.inaturalist.org/photos/5860796/small.jpg?1482384043","Jonathan Carpenter","Creative Commons Attribution-NonCommercial License"
"Atriplex","gardneri","https://static.inaturalist.org/photos/78400463/small.jpg?1592007702","mice","Creative Commons Attribution-NonCommercial License"
"Atriplex","lentiformis","https://static.inaturalist.org/photos/1521287/small.jpg?1422732902","bsigel","Creative Commons Attribution-NonCommercial License"
"Atriplex","polycarpa","https://static.inaturalist.org/photos/7751230/small.jpg?1494562697","Steve Jones","Creative Commons Attribution-NonCommercial License"
"Avicennia","germinans","https://static.inaturalist.org/photos/1864259/small.jpg?1431920156","okaloosascience","Creative Commons Attribution License"
"Balsamorhiza","hookeri","https://static.inaturalist.org/photos/7491747/small.jpg?1493347707","Micah Lauer","Creative Commons Attribution-NonCommercial License"
"Balsamorhiza","macrophylla","https://static.inaturalist.org/photos/7939685/small.jpg?1495395938","alsal","Creative Commons Attribution-NonCommercial License"
"Baccharis","pilularis","https://static.inaturalist.org/photos/62219/small.JPG","greenrosettas","Creative Commons Attribution-NonCommercial License"
"Baccharis","sarothroides","https://static.inaturalist.org/photos/1386270/small.JPG?1417315770","Sam Kieschnick","Creative Commons Attribution-NonCommercial License"
"Balsamorhiza","sagittata","https://static.inaturalist.org/photos/447929/small.jpg?1444632104","dnydick","Creative Commons Attribution-NonCommercial License"
"Baccharis","salicifolia","https://static.inaturalist.org/photos/199733/small.jpg?1352230163","hardrockmonkey","Creative Commons Attribution-NonCommercial License"
"Betula","nigra","https://static.inaturalist.org/photos/1330880/small.JPG?1415420725","Jennifer Reed","Creative Commons Attribution-NonCommercial License"
"Betula","papyrifera","https://static.inaturalist.org/photos/97535/small.jpg","charlie","Creative Commons Attribution License"
"Betula","populifolia","https://static.inaturalist.org/photos/560499/small.jpg?1383267613","Marv Elliott","Creative Commons Attribution-NonCommercial License"
"Bidens","aristosa","https://static.inaturalist.org/photos/4798609/small.jpg?1473204331","Jim","Creative Commons Attribution-NonCommercial License"
"Bidens","cernua","https://static.inaturalist.org/photos/1162690/small.jpg?1412624773","AmeriCorps WVPD","Creative Commons Attribution-NonCommercial License"
"Not found","Not found","Not found","Not found","Not found"
"Bidens","connata","https://static.inaturalist.org/photos/4982104/small.jpg?1474653360","Martin J. Calabrese","Creative Commons Attribution-NonCommercial License"
"Bidens","frondosa","https://static.inaturalist.org/photos/537622/small.jpg?1381619630","ctracey","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Bidens","laevis","https://static.inaturalist.org/photos/5233686/small.jpeg?1476590897","Andy Newman","Creative Commons Attribution-NonCommercial License"
"Blepharoneuron","tricholepis","https://static.inaturalist.org/photos/52412336/small.jpeg?1569423623","one-strange-ranger","Creative Commons Attribution-NonCommercial License"
"Boltonia","asteroides","https://static.inaturalist.org/photos/45379806/small.jpeg?1563492403","William Wimley","Creative Commons Attribution-NonCommercial License"
"Bothriochloa","barbinodis","https://static.inaturalist.org/photos/7816487/small.jpeg?1494863097","Ruben A. Martínez Flores","Creative Commons Attribution-NonCommercial License"
"Bouteloua","curtipendula","https://static.inaturalist.org/photos/964526/small.JPG?1404431949","Mark Kluge","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Bouteloua","eriopoda","https://static.inaturalist.org/photos/25963702/small.jpg?1538517140","Nathan Taylor","Creative Commons Attribution-NonCommercial License"
"Bouteloua","gracilis","https://static.inaturalist.org/photos/942361/small.JPG?1403473975","skiman1016","Creative Commons Attribution-NonCommercial License"
"Bouteloua","hirsuta","https://static.inaturalist.org/photos/2833613/small.JPG?1451682264","Bob O'Kennon","Creative Commons Attribution-NonCommercial License"
"Bromus","anomalus","https://static.inaturalist.org/photos/82798589/small.jpg?1593997323","Neptalí Ramírez Marcial","Creative Commons Attribution-NonCommercial License"
"Bromus","carinatus","https://static.inaturalist.org/photos/7204036/small.jpg?1492459318","Cindy Roessler","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Bromus","ciliatus","https://static.inaturalist.org/photos/11461303/small.jpg?1509129966","tsc_wis","Creative Commons Attribution-NonCommercial License"
"Bromus","marginatus","https://static.inaturalist.org/photos/85823271/small.jpg?1595428534","Chloe and Trevor","Creative Commons Attribution-NonCommercial License"
"Bromus","sitchensis","https://static.inaturalist.org/photos/65216559/small.jpg?1585687937","katiepeill","Creative Commons Attribution-NonCommercial License"
"Bromus","vulgaris","https://static.inaturalist.org/photos/44835034/small.jpeg?1563045918","Barbara L. Wilson","Creative Commons Attribution-NonCommercial License"
"Carex","abscondita","https://static.inaturalist.org/photos/75898750/small.jpg?1590849494","natev-sa","Creative Commons Attribution-NonCommercial License"
"Callicarpa","americana","https://static.inaturalist.org/photos/457663/small.JPG?1376612232","Linda Gail Price","Creative Commons Attribution-NonCommercial License"
"Carex","aperta","https://static.inaturalist.org/photos/78512238/small.jpeg?1592066823","Tyson Ehlers","Creative Commons Attribution-NonCommercial License"
"Carex","aquatilis","https://static.inaturalist.org/photos/8909430/small.jpg?1499512821","David McCorquodale","Creative Commons Attribution-NonCommercial License"
"Carex","atherodes","https://static.inaturalist.org/photos/77122964/small.jpg?1591403842","Andrew Lane Gibson","Creative Commons Attribution-NonCommercial License"
"Carex","athrostachya","https://static.inaturalist.org/photos/79542884/small.jpeg?1592516666","Brian Starzomski","Creative Commons Attribution-NonCommercial License"
"Carex","atlantica","https://static.inaturalist.org/photos/42303945/small.jpeg?1560858512","Chris Poling","Creative Commons Attribution-NonCommercial License"
"Carex","aurea","https://static.inaturalist.org/photos/5708207/small.jpg?1480983343","Leanne Wallis","Creative Commons Attribution-NonCommercial License"
"Carex","baileyi","https://static.inaturalist.org/photos/52772833/small.jpeg?1569769890","Randy Bodkins","Creative Commons Attribution-NonCommercial License"
"Carex","bebbii","https://static.inaturalist.org/photos/19835026/small.jpg?1529201788","Rob Curtis","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Carex","bicknellii","https://static.inaturalist.org/photos/43350208/small.jpeg?1561759081","Mark Kluge","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Carex","blanda","https://static.inaturalist.org/photos/7474016/small.jpeg?1493289739","Mark Kluge","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Cabomba","caroliniana","https://static.inaturalist.org/photos/8236534/small.jpeg?1496660951","Don Sutherland","Creative Commons Attribution-NonCommercial License"
"Carpinus","caroliniana","https://static.inaturalist.org/photos/245219/small.jpg?1359851383","james5","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Calamagrostis","canadensis","https://static.inaturalist.org/photos/6147096/small.jpeg?1485717765","cassi saari","Creative Commons Attribution-NonCommercial License"
"Carya","cordiformis","https://static.inaturalist.org/photos/505302/small.jpg?1379728009","Kent McFarland","Creative Commons Attribution-NonCommercial License"
"Carex","cristatella","https://static.inaturalist.org/photos/9011235/small.jpg?1499884873","Mark Nenadov","Creative Commons Attribution-NonCommercial License"
"Carex","debilis","https://static.inaturalist.org/photos/19888880/small.jpeg?1529277923","Colin Chapman","Creative Commons Attribution-NonCommercial License"
"Carex","disperma","https://static.inaturalist.org/photos/10111038/small.jpeg?1504062591","Joseph Kurtz","Creative Commons Attribution-NonCommercial License"
"Carex","filifolia","https://static.inaturalist.org/photos/46578257/small.jpg?1564456167","James Bailey","Creative Commons Attribution-NonCommercial License"
"Carex","frankii","https://static.inaturalist.org/photos/9006255/small.jpeg?1499862581","lynnparsons","Creative Commons Attribution-NonCommercial License"
"Carex","gracillima","https://static.inaturalist.org/photos/4043695/small.jpg?1466276253","Joe Walewski","Creative Commons Attribution-NonCommercial License"
"Carex","hendersonii","https://static.inaturalist.org/photos/32713235/small.jpeg?1552352335","mhays","Creative Commons Attribution-NonCommercial License"
"Carya","illinoinensis","https://static.inaturalist.org/photos/1281993/small.jpg?1413557922","ncmns","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Carex","lacustris","https://static.inaturalist.org/photos/8439858/small.jpeg?1497487589","Sarah Johnson","Creative Commons Attribution License"
"Carex","lenticularis","https://static.inaturalist.org/photos/26446833/small.jpeg?1539269399","Ed Morris","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Carex","lenticularis","https://static.inaturalist.org/photos/26446833/small.jpeg?1539269399","Ed Morris","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Carex","mertensii","https://static.inaturalist.org/photos/8275053/small.jpeg?1496806969","kilasiak","Creative Commons Attribution-NonCommercial License"
"Carex","molesta","https://static.inaturalist.org/photos/19722644/small.jpg?1529024928","Michael Ellis","Creative Commons Attribution License"
"Carex","muskingumensis","https://static.inaturalist.org/photos/9436762/small.jpeg?1501515503","Marsh Maiden","Creative Commons Attribution-NonCommercial License"
"Carex","nebrascensis","https://static.inaturalist.org/photos/76283589/small.jpeg?1590986271","Jim Bromberg","Creative Commons Attribution-NonCommercial License"
"Carex","obnupta","https://static.inaturalist.org/photos/3267023/small.JPG?1459528421","Michael Chassé","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Carex","prasina","https://static.inaturalist.org/photos/19556286/small.jpg?1528751088","Pat Deacon","Creative Commons Attribution-NonCommercial License"
"Carex","projecta","https://static.inaturalist.org/photos/32830465/small.jpg?1552591106","Anna Sheppard","Creative Commons Attribution-NonCommercial License"
"Carex","scoparia","https://static.inaturalist.org/photos/10668582/small.jpeg?1506179997","Don Sutherland","Creative Commons Attribution-NonCommercial License"
"Carex","scopulorum","https://static.inaturalist.org/photos/59641648/small.jpeg?1579053110","Barbara L. Wilson","Creative Commons Attribution-NonCommercial License"
"Carex","simulata","https://static.inaturalist.org/photos/59641653/small.jpeg?1579053116","Barbara L. Wilson","Creative Commons Attribution-NonCommercial License"
"Catalpa","speciosa","https://static.inaturalist.org/photos/1007101/small.jpg?1406210618","Peter Jennetten","Creative Commons Attribution-NonCommercial License"
"Carex","squarrosa","https://static.inaturalist.org/photos/2287614/small.jpg?1440112701","Cassi Saari","Creative Commons Attribution-NonCommercial License"
"Carex","stipata","https://static.inaturalist.org/photos/3936750/small.JPG?1465317530","Jonathan Carpenter","Creative Commons Attribution-NonCommercial License"
"Calamagrostis","stricta","https://static.inaturalist.org/photos/80406922/small.jpeg?1592883905","Jason Cooper","Creative Commons Attribution-NonCommercial License"
"Calamagrostis","stricta","https://static.inaturalist.org/photos/80406922/small.jpeg?1592883905","Jason Cooper","Creative Commons Attribution-NonCommercial License"
"Carex","torta","https://static.inaturalist.org/photos/36381941/small.jpeg?1556404864","Chris Poling","Creative Commons Attribution-NonCommercial License"
"Carex","tribuloides","https://static.inaturalist.org/photos/20915801/small.jpeg?1530924974","dianen5","Creative Commons Attribution-NonCommercial License"
"Carex","trichocarpa","https://static.inaturalist.org/photos/27175994/small.jpeg?1540421467","Philippe Blais","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Carex","viridula","https://static.inaturalist.org/photos/9099823/small.jpg?1500255719","Pat Deacon","Creative Commons Attribution-NonCommercial License"
"Cercis","canadensis","https://static.inaturalist.org/photos/329986/small.jpg?1368479773","cya_outside","Creative Commons Attribution-NonCommercial License"
"Ceanothus","greggii","https://static.inaturalist.org/photos/7357482/small.jpg?1492836843","Steve Jones","Creative Commons Attribution-NonCommercial License"
"Celtis","laevigata","https://static.inaturalist.org/photos/582929/small.?1384886521","alexross","Creative Commons Attribution-NonCommercial License"
"Celtis","occidentalis","https://static.inaturalist.org/photos/465199/small.JPG?1377103784","Terry Rosenmeier","Creative Commons Attribution-NonCommercial License"
"Ceanothus","prostratus","https://static.inaturalist.org/photos/872278/small.JPG?1400861064","Janet Zipser Zipkin","Creative Commons Attribution-NonCommercial License"
"Chilopsis","linearis","https://static.inaturalist.org/photos/848050/small.jpg?1399866062","naturebee","Creative Commons Attribution-NonCommercial License"
"Chamaebatiaria","millefolium","https://static.inaturalist.org/photos/5565206/small.jpeg?1479612911","charley","Creative Commons Attribution-NonCommercial License"
"Claytonia","perfoliata","https://static.inaturalist.org/photos/85265/small.jpg?1444462380","Scott Loarie","Creative Commons CC0 Universal Public Domain Dedication"
"Cornus","canadensis","https://static.inaturalist.org/photos/387808/small.JPG?1444791959","103744238038089080957","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Cornus","drummondii","https://static.inaturalist.org/photos/725639/small.jpg?1444490725","John Ratzlaff","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Coleogyne","ramosissima","https://static.inaturalist.org/photos/3228199/small.JPG?1459032642","Neil Frakes","Creative Commons Attribution-NonCommercial License"
"Cornus","sericea","https://static.inaturalist.org/photos/178297/small.jpg","charlie","Creative Commons Attribution License"
"Crepis","acuminata","https://static.inaturalist.org/photos/7318211/small.jpg?1492711902","Patrick (Dan) Giltz","Creative Commons Attribution-NonCommercial License"
"Crataegus","aestivalis","https://static.inaturalist.org/photos/63276472/small.jpeg?1583963789","Alvin Diamond","Creative Commons Attribution-NonCommercial License"
"Crataegus","phaenopyrum","https://static.inaturalist.org/photos/80139915/small.jpg?1592773942","Jeff Skrentny","Creative Commons Attribution-NonCommercial License"
"Danthonia","californica","https://static.inaturalist.org/photos/7166627/small.jpeg?1492385423","Lew Stringer","Creative Commons Attribution-NonCommercial License"
"Danthonia","intermedia","https://static.inaturalist.org/photos/61035803/small.jpeg?1581125235","mhays","Creative Commons Attribution-NonCommercial License"
"Deschampsia","elongata","https://static.inaturalist.org/photos/38965524/small.jpg?1557946329","sarahnwilson","Creative Commons Attribution-NonCommercial License"
"Digitaria","californica","https://static.inaturalist.org/photos/21632801/small.jpg?1532040208","Nathan Taylor","Creative Commons Attribution-NonCommercial License"
"Dicentra","formosa","https://static.inaturalist.org/photos/222057/small.JPG?1356221408","dreierj","Creative Commons Attribution License"
"Distichlis","spicata","https://static.inaturalist.org/photos/547269/small.jpg?1382238927","Jason Singhurst","Creative Commons Attribution-NonCommercial License"
"Dracopis","amplexicaulis","https://static.inaturalist.org/photos/2079800/small.jpg?1435876248","Sam Kieschnick","Creative Commons Attribution-NonCommercial License"
"Dryas","octopetala","https://static.inaturalist.org/photos/3502439/small.JPG?1461756281","Andrea Pane","Creative Commons Attribution-NonCommercial License"
"Echinacea","pallida","https://static.inaturalist.org/photos/2113562/small.jpg?1436570447","Corey Lange","Creative Commons Attribution-NonCommercial License"
"Elymus","elymoides","https://static.inaturalist.org/photos/2186811/small.jpg?1437948209","Daniel George","Creative Commons Attribution-NonCommercial License"
"Elymus","trachycaulus","https://static.inaturalist.org/photos/10429578/small.jpeg?1505330044","Wasyl Bakowsky","Creative Commons Attribution-NonCommercial License"
"Encelia","farinosa","https://static.inaturalist.org/photos/627294/small.jpg?1389046218","Chris Brown","Creative Commons Attribution-NonCommercial License"
"Ephedra","nevadensis","https://static.inaturalist.org/photos/11596502/small.jpg?1509659340","dbiom","Creative Commons Attribution-NonCommercial License"
"Equisetum","sylvaticum","https://static.inaturalist.org/photos/1978262/small.JPG?1433815174","mothvet","Creative Commons Attribution-NonCommercial License"
"Erigeron","compositus","https://static.inaturalist.org/photos/4333714/small.jpeg?1469293363","dgreenberger","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Eragrostis","intermedia","https://static.inaturalist.org/photos/75789341/small.jpeg?1590789133","alankuentz","Creative Commons Attribution-NonCommercial License"
"Erigeron","peregrinus","https://static.inaturalist.org/photos/10396019/small.jpeg?1505176850","psweet","Creative Commons Attribution-NonCommercial License"
"Eragrostis","trichodes","https://static.inaturalist.org/photos/82577442/small.jpeg?1593902593","Sam Kieschnick","Creative Commons Attribution-NonCommercial License"
"Eriogonum","wrightii","https://static.inaturalist.org/photos/3674461/small.jpg?1463276778","phacelialinearis","Creative Commons Attribution-NonCommercial License"
"Eurybia","macrophylla","https://static.inaturalist.org/photos/2237436/small.JPG?1438980363","Joe Walewski","Creative Commons Attribution-NonCommercial License"
"Fallugia","paradoxa","https://static.inaturalist.org/photos/1318717/small.jpg?1414951019","Jennifer Jackson","Creative Commons Attribution-NonCommercial License"
"Festuca","occidentalis","https://static.inaturalist.org/photos/86372541/small.jpeg?1595695296","Brian Starzomski","Creative Commons Attribution-NonCommercial License"
"Fendlera","rupicola","https://static.inaturalist.org/photos/7248136/small.jpg?1492540879","dia_observers","Creative Commons Attribution-NonCommercial License"
"Festuca","thurberi","https://static.inaturalist.org/photos/47639146/small.jpg?1565371715","Peggy Lyon","Creative Commons Attribution-NonCommercial License"
"Festuca","viridula","https://static.inaturalist.org/photos/83710331/small.jpg?1594448312","Tynan Ramm-Granberg","Creative Commons Attribution-NonCommercial License"
"Ferocactus","wislizeni","https://static.inaturalist.org/photos/1597005/small.jpg?1425584282","Fiona","Creative Commons Attribution-NonCommercial License"
"Fraxinus","nigra","https://static.inaturalist.org/photos/1489030/small.jpg?1421443331","Derek Shiels","Creative Commons Attribution-NonCommercial License"
"Gaillardia","aristata","https://static.inaturalist.org/photos/3960361/small.jpeg?1465493869","Rob Shearer","Creative Commons Attribution-NonCommercial License"
"Garrya","wrightii","https://static.inaturalist.org/photos/8774339/small.jpg?1498955062","CK Kelly","Creative Commons Attribution License"
